Sentence,Label
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
I need a pen. నాకు పెన్ కావాలి.,3
I am going to sleep. હું સોઈ રહ્યો છું.,2
I am watching a movie. मी चित्रपट पाहत आहे.,1
I love programming. मला प्रोग्रामिंग आवडते.,1
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
We are going to the zoo. మేము జూ కి వెళ్ళిపోతున్నాం.,3
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
"She is always positive, बहुत inspiring है।",4
I am studying for exams. मैं परीक्षा की तैयारी कर रहा हूँ।,0
My house is big. મારો ઘર મોટો છે.,2
I enjoy listening to music. હું સંગીત સાંભળવાનું આનંદિત છું.,2
I am watching a movie. मी चित्रपट पाहत आहे.,1
I will visit my grandmother. में अपनी दादी से मिलने जाऊंगा।,0
I am learning to code. मी कोड शिकत आहे.,1
I have a new phone. मेरे पास नया फोन है।,0
She is very talented. ఆమె చాలా ప్రతిభావంతురాలిది.,3
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
I want to visit Hyderabad. నేను హైదరాబాద్ సందర్శించాలనుకుంటున్నాను.,3
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
"This movie is a must-watch, एकदम amazing।",4
We are going to the market. आम्ही बाजारात जात आहोत.,1
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
This cake is delicious. हा केक स्वादिष्ट आहे.,1
She is my friend. वह मेरी दोस्त है।,0
The weather is nice today. आज का मौसम अच्छा है।,0
"I will call you later, अभी थोड़ा busy हूँ।",4
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
I enjoy listening to music. હું સંગીત સાંભળવાનું આનંદિત છું.,2
This place is very beautiful. આ જગ્યા બહુ સુંદર છે.,2
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
It’s a beautiful day. ఇది ఒక అందమైన రోజు.,3
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
I like to read books. నాకు పుస్తకాలు చదవడం ఇష్టం.,3
I want to go shopping. मला शॉपिंगला जाऊ इच्छित आहे.,1
He is my brother. वह मेरा भाई है।,0
I am watching a movie. मी चित्रपट पाहत आहे.,1
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
Let’s meet at 5 PM. మనం 5 గంటలకు కలుద్దాం.,3
The book is interesting. ती पुस्तिका रोचक आहे.,1
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
My house is big. મારો ઘર મોટો છે.,2
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
I need a pen. నాకు పెన్ కావాలి.,3
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
I will visit my grandmother. में अपनी दादी से मिलने जाऊंगा।,0
My house is in the city. माझा घर शहरात आहे.,1
"She is very responsible, हमेशा सही decisions लेती है।",4
The book is interesting. ती पुस्तिका रोचक आहे.,1
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
I have a meeting at 3 PM. મારી 3 વાગે મીટિંગ છે.,2
This movie is amazing. ఈ సినిమా అద్భుతంగా ఉంది.,3
He is a good actor. તે એક સારો અભિનેતા છે.,2
I need a pen. నాకు పెన్ కావాలి.,3
I am watching television. હું ટેલિવિઝન જોઈ રહ્યો છું.,2
The food is delicious. ఆహారం రుచికరంగా ఉంది.,3
My father is a doctor. मेरे पिता डॉक्टर हैं।,0
I want to learn new things. હું નવી વસ્તુઓ શીખવા માંગું છું.,2
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
I want to learn new things. હું નવી વસ્તુઓ શીખવા માંગું છું.,2
She is studying engineering. वह इंजीनियरिंग की पढ़ाई कर रही है।,0
The view from the mountain is beautiful. पहाडावरून दृश्य सुंदर आहे.,1
Let’s go to the park. మనం పార్కుకు వెళ్ళిపోతే.,3
I need help with this. నాకు ఈతో సహాయం కావాలి.,3
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
"I have a surprise for you, excited?",4
"She is very honest, हमेशा सच बोलती है।",4
This place is very beautiful. આ જગ્યા બહુ સુંદર છે.,2
It's a good day today. આજે સારું દિન છે.,2
I enjoy listening to music. હું સંગીત સાંભળવાનું આનંદિત છું.,2
We will meet tomorrow. હું કાલે મળીશ.,2
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
It’s a cold night. रात ठंडी है।,0
"This restaurant is amazing, एक बार जरूर try करो।",4
He likes to read books. તે પુસ્તકો વાંચવાનું પસંદ કરે છે.,2
This place is very beautiful. આ જગ્યા બહુ સુંદર છે.,2
I am learning to code. मी कोड शिकत आहे.,1
She is my friend. वह मेरी दोस्त है।,0
This cake is delicious. हा केक स्वादिष्ट आहे.,1
She is my friend. वह मेरी दोस्त है।,0
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
I am going to sleep. હું સોઈ રહ્યો છું.,2
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
My house is in the city. माझा घर शहरात आहे.,1
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
I want to go shopping. मला शॉपिंगला जाऊ इच्छित आहे.,1
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
This place is very beautiful. આ જગ્યા બહુ સુંદર છે.,2
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
I went to the park yesterday. मी काल उद्यानात गेलो होतो.,1
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
We will meet tomorrow. હું કાલે મળીશ.,2
The train is late today. आज बहुत देर से आया है।,0
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
Why is this so expensive? इतना महंगा क्यों है?,4
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
He is my best friend. वह मेरा सबसे अच्छा दोस्त है।,0
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
It’s a cold night. रात ठंडी है।,0
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
"I am very tired today, बहुत सोने का मन कर रहा है।",4
I am waiting for my friend. నేను నా స్నేహితుని కోసం వేచి ఉన్నాను.,3
I enjoy listening to music. હું સંગીત સાંભળવાનું આનંદિત છું.,2
I need a book. મને પુસ્તક જોઈએ છે.,2
He is my best friend. वह मेरा सबसे अच्छा दोस्त है।,0
We are going to the market. आम्ही बाजारात जात आहोत.,1
I am waiting for my friend. నేను నా స్నేహితుని కోసం వేచి ఉన్నాను.,3
I like to play cricket. मला क्रिकेट खेळायला आवडते.,1
We are having a party. અમે પાર્ટી કરી રહ્યા છીએ.,2
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
Can you wait for me? बस 5 मिनट।,4
The children are playing outside. बच्चे बाहर खेल रहे हैं।,0
I am waiting for my friend. నేను నా స్నేహితుని కోసం వేచి ఉన్నాను.,3
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
"She is very hardworking, कभी हार नहीं मानती।",4
My father is a doctor. मेरे पिता डॉक्टर हैं।,0
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
I went to the park yesterday. मी काल उद्यानात गेलो होतो.,1
We will meet tomorrow. હું કાલે મળીશ.,2
"I can't find my wallet, कहीं गिर तो नहीं गया?",4
I am watching a movie. मी चित्रपट पाहत आहे.,1
The weather is nice today. आज का मौसम अच्छा है।,0
The food is delicious. ఆహారం రుచికరంగా ఉంది.,3
I want to learn new things. હું નવી વસ્તુઓ શીખવા માંગું છું.,2
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
He is my brother. वह मेरा भाई है।,0
Let’s meet at 5 PM. మనం 5 గంటలకు కలుద్దాం.,3
The train is late today. आज बहुत देर से आया है।,0
It’s a beautiful day. ఇది ఒక అందమైన రోజు.,3
This pen is mine. हा पेन्सिल माझा आहे.,1
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
I am studying for exams. मैं परीक्षा की तैयारी कर रहा हूँ।,0
Can you help me? మీరు నాకు సహాయం చేయగలరా?,3
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
I love programming. मला प्रोग्रामिंग आवडते.,1
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
"I forgot my keys, अब क्या करें?",4
This cake is delicious. हा केक स्वादिष्ट आहे.,1
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
Let’s go to the park. మనం పార్కుకు వెళ్ళిపోతే.,3
Can we reschedule? थोड़ा difficult हो रहा है।,4
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
It’s a cold night. रात ठंडी है।,0
We will meet tomorrow. હું કાલે મળીશ.,2
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
My house is big. મારો ઘર મોટો છે.,2
I am enjoying this party. मी या पार्टीचा आनंद घेत आहे.,1
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
The book is interesting. ती पुस्तिका रोचक आहे.,1
She is my friend. वह मेरी दोस्त है।,0
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
This movie is amazing. ఈ సినిమా అద్భుతంగా ఉంది.,3
I have an exam tomorrow. મારા કુંબરિ દિવસો છે.,2
I need a book. મને પુસ્તક જોઈએ છે.,2
I am feeling tired. मैं थका हुआ हूँ।,0
I am going to buy groceries. మేము గ్రోసరీ కొనాలనుకుంటున్నాం.,3
This cake is delicious. हा केक स्वादिष्ट आहे.,1
She is a teacher. वह एक शिक्षक है।,0
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
I have an exam tomorrow. મારા કુંબરિ દિવસો છે.,2
The view from the mountain is beautiful. पहाडावरून दृश्य सुंदर आहे.,1
I am watching a movie. मी चित्रपट पाहत आहे.,1
I will visit my grandmother. में अपनी दादी से मिलने जाऊंगा।,0
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
It is raining outside. బయట వర్షం పడుతుంది.,3
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
"I will do my best, पूरा effort डालूँगा।",4
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
I am hungry. मला भूक लागली आहे.,1
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
She is a teacher. वह एक शिक्षक है।,0
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
I need a pen. నాకు పెన్ కావాలి.,3
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
This cake is delicious. हा केक स्वादिष्ट आहे.,1
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
I want to go shopping. मला शॉपिंगला जाऊ इच्छित आहे.,1
I am feeling tired. मैं थका हुआ हूँ।,0
I have a new phone. मेरे पास नया फोन है।,0
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
The children are playing outside. बच्चे बाहर खेल रहे हैं।,0
She is my friend. वह मेरी दोस्त है।,0
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
I need a pen. నాకు పెన్ కావాలి.,3
We will meet tomorrow. હું કાલે મળીશ.,2
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
Where is the restaurant? અહિયાં રેસ્ટોરન્ટ કયાં છે?,2
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
The weather is nice today. आज का मौसम अच्छा है।,0
He is my best friend. वह मेरा सबसे अच्छा दोस्त है।,0
I am going to buy groceries. మేము గ్రోసరీ కొనాలనుకుంటున్నాం.,3
We will meet tomorrow. હું કાલે મળીશ.,2
He is my brother. वह मेरा भाई है।,0
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
We are going to the zoo. మేము జూ కి వెళ్ళిపోతున్నాం.,3
This pen is mine. हा पेन्सिल माझा आहे.,1
I have a meeting at 3 PM. મારી 3 વાગે મીટિંગ છે.,2
The food is delicious. ఆహారం రుచికరంగా ఉంది.,3
My father is a doctor. मेरे पिता डॉक्टर हैं।,0
I have a new phone. मेरे पास नया फोन है।,0
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
I went to the park yesterday. मी काल उद्यानात गेलो होतो.,1
I need a pen. నాకు పెన్ కావాలి.,3
I am waiting for my friend. నేను నా స్నేహితుని కోసం వేచి ఉన్నాను.,3
What time is the meeting? मैंने calendar check नहीं किया।,4
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
The children are playing outside. बच्चे बाहर खेल रहे हैं।,0
The book is interesting. ती पुस्तिका रोचक आहे.,1
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
I need help with this. నాకు ఈతో సహాయం కావాలి.,3
Can you help me? మీరు నాకు సహాయం చేయగలరా?,3
I want to visit Hyderabad. నేను హైదరాబాద్ సందర్శించాలనుకుంటున్నాను.,3
I am going to the beach. હું બીચ પર જઈ રહ્યો છું.,2
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
"This color suits you, बहुत अच्छा लग रहा है।",4
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
I am watching a movie. मी चित्रपट पाहत आहे.,1
It’s a sunny day. આજે સૂર્યપ્રકાશ છે.,2
"This jacket looks good on you, बहुत stylish लग रही है।",4
I have a new phone. मेरे पास नया फोन है।,0
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
He is my brother. वह मेरा भाई है।,0
The train is late today. आज बहुत देर से आया है।,0
The weather is nice today. आज का मौसम अच्छा है।,0
I am learning to code. मी कोड शिकत आहे.,1
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
My brother is a good singer. मेरा भाई अच्छा गायक है।,0
I am watching television. હું ટેલિવિઝન જોઈ રહ્યો છું.,2
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
The book is interesting. ती पुस्तिका रोचक आहे.,1
This movie is amazing. ఈ సినిమా అద్భుతంగా ఉంది.,3
He likes to read books. તે પુસ્તકો વાંચવાનું પસંદ કરે છે.,2
She is a teacher. वह एक शिक्षक है।,0
I have a new phone. मेरे पास नया फोन है।,0
I need help with this. నాకు ఈతో సహాయం కావాలి.,3
"I need to leave early today, कुछ urgent है।",4
The weather is nice today. आज का मौसम अच्छा है।,0
I am going to the gym. मी जिमला जात आहे.,1
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
He likes to read books. તે પુસ્તકો વાંચવાનું પસંદ કરે છે.,2
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
I love programming. मला प्रोग्रामिंग आवडते.,1
I want to visit Hyderabad. నేను హైదరాబాద్ సందర్శించాలనుకుంటున్నాను.,3
I am going to the gym. मी जिमला जात आहे.,1
He is a good actor. તે એક સારો અભિનેતા છે.,2
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
The train is late today. आज बहुत देर से आया है।,0
I want to visit Hyderabad. నేను హైదరాబాద్ సందర్శించాలనుకుంటున్నాను.,3
I am watching television. હું ટેલિવિઝન જોઈ રહ્યો છું.,2
We are going to the zoo. మేము జూ కి వెళ్ళిపోతున్నాం.,3
I want to go shopping. मला शॉपिंगला जाऊ इच्छित आहे.,1
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
This place is very peaceful. हे ठिकाण खूप शांत आहे.,1
Let’s meet at 5 PM. మనం 5 గంటలకు కలుద్దాం.,3
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
She is a teacher. वह एक शिक्षक है।,0
I need a pen. నాకు పెన్ కావాలి.,3
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
"He is very supportive, हमेशा साथ देता है।",4
I need a book. મને પુસ્તક જોઈએ છે.,2
It's a good day today. આજે સારું દિન છે.,2
I am enjoying this party. मी या पार्टीचा आनंद घेत आहे.,1
I have an exam tomorrow. મારા કુંબરિ દિવસો છે.,2
It's a good day today. આજે સારું દિન છે.,2
It is raining outside. బయట వర్షం పడుతుంది.,3
Can you help me? మీరు నాకు సహాయం చేయగలరా?,3
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
"I am learning a new skill, बहुत मजा आ रहा है।",4
Where is the restaurant? અહિયાં રેસ્ટોરન્ટ કયાં છે?,2
I am learning to code. मी कोड शिकत आहे.,1
She is going to the doctor. એ ડોક્ટર પાસે જઈ રહી છે.,2
The weather is nice today. आज का मौसम अच्छा है।,0
My father is a doctor. मेरे पिता डॉक्टर हैं।,0
She is studying engineering. वह इंजीनियरिंग की पढ़ाई कर रही है।,0
I went to the mall yesterday. હું ગઈકાલે મોલ પર ગયો.,2
"She is my best friend, हमेशा मेरे साथ रहती है।",4
I like to play cricket. मला क्रिकेट खेळायला आवडते.,1
I am going to the store. मी स्टोअरला जात आहे.,1
I am going to the store. मी स्टोअरला जात आहे.,1
I enjoy listening to music. હું સંગીત સાંભળવાનું આનંદિત છું.,2
It’s a cold night. रात ठंडी है।,0
This pen is mine. हा पेन्सिल माझा आहे.,1
I am hungry. मला भूक लागली आहे.,1
The book is interesting. ती पुस्तिका रोचक आहे.,1
I love playing tennis. నేను టెన్నిస్ ఆడడం ఇష్టపడతాను.,3
I am feeling tired. मैं थका हुआ हूँ।,0
I am going to the store. मी स्टोअरला जात आहे.,1
I love programming. मला प्रोग्रामिंग आवडते.,1
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
I like playing football. मी फुटबॉल खेळायला आवडतो.,1
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
We are celebrating Diwali. आम्ही दिवाळी साजरी करत आहोत.,1
I have a meeting at 3 PM. મારી 3 વાગે મીટિંગ છે.,2
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
It's a good day today. આજે સારું દિન છે.,2
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
"She is very intelligent, हमेशा सही answer देती है।",4
He is my best friend. वह मेरा सबसे अच्छा दोस्त है।,0
I went to school today. હું આજે સ્કૂલ ગયો હતો.,2
The train is late today. आज बहुत देर से आया है।,0
He is a good actor. તે એક સારો અભિનેતા છે.,2
It is raining outside. బయట వర్షం పడుతుంది.,3
I am feeling tired. मैं थका हुआ हूँ।,0
I am watching television. હું ટેલિવિઝન જોઈ રહ્યો છું.,2
This is a beautiful place. ఇది ఒక అందమైన ప్రదేశం.,3
"I need a vacation, बहुत stress हो गया।",4
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
We will go on vacation. અમે વિકેવિશનમાં જઈશું.,2
"I am so excited, बहुत मजा आएगा।",4
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
My house is in the city. माझा घर शहरात आहे.,1
He is a good actor. તે એક સારો અભિનેતા છે.,2
He is my brother. वह मेरा भाई है।,0
We are having a party. અમે પાર્ટી કરી રહ્યા છીએ.,2
I am going to the store. मी स्टोअरला जात आहे.,1
She is very talented. ఆమె చాలా ప్రతిభావంతురాలిది.,3
"We should exercise daily, health important है।",4
We are going to the zoo. మేము జూ కి వెళ్ళిపోతున్నాం.,3
My house is in the city. माझा घर शहरात आहे.,1
I am learning to code. मी कोड शिकत आहे.,1
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
It's a good day today. આજે સારું દિન છે.,2
She is my friend. वह मेरी दोस्त है।,0
I need a book. મને પુસ્તક જોઈએ છે.,2
I want to go shopping. मला शॉपिंगला जाऊ इच्छित आहे.,1
"I bought a new laptop, बहुत fast है!",4
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
I am learning to cook. मैं खाना बनाना सीख रहा हूँ।,0
I will visit my grandmother. में अपनी दादी से मिलने जाऊंगा।,0
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
Let’s go for a walk. నేమీ వెళ్ళిపోతాం.,3
She is very talented. ఆమె చాలా ప్రతిభావంతురాలిది.,3
This pen is mine. हा पेन्सिल माझा आहे.,1
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
We are going to the temple. మేము ఆలయానికి వెళ్ళిపోతున్నాం.,3
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
The view from the mountain is beautiful. पहाडावरून दृश्य सुंदर आहे.,1
I am hungry. मला भूक लागली आहे.,1
I like to play cricket. मला क्रिकेट खेळायला आवडते.,1
It’s a cold night. रात ठंडी है।,0
This cake is delicious. हा केक स्वादिष्ट आहे.,1
I am learning to speak Spanish. నేను స్పానిష్ మాట్లాడడం నేర్చుకుంటున్నాను.,3
I went to the park yesterday. मी काल उद्यानात गेलो होतो.,1
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
We are going to the market. आम्ही बाजारात जात आहोत.,1
This place is very beautiful. આ જગ્યા બહુ સુંદર છે.,2
I am studying for exams. मैं परीक्षा की तैयारी कर रहा हूँ।,0
I need help with the project. હું પ્રોજેક્ટમાં મદદ કરવા માંગું છું.,2
I love this song. నాకు ఈ పాట ఎంతో ఇష్టం.,3
"I need more time, अभी complete नहीं हुआ।",4
I have a meeting at 3 PM. મારી 3 વાગે મીટિંગ છે.,2
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
I love programming. मला प्रोग्रामिंग आवडते.,1
I need a book. મને પુસ્તક જોઈએ છે.,2
I like to watch movies. मुझे फिल्में देखना बहुत पसंद है।,0
My house is big. મારો ઘર મોટો છે.,2
"This coffee is perfect, बिल्कुल सही taste।",4
Where is the restaurant? અહિયાં રેસ્ટોરન્ટ કયાં છે?,2
The view from the mountain is beautiful. पहाडावरून दृश्य सुंदर आहे.,1
I need to buy groceries. मला किराणामाल खरेदी करायचा आहे.,1
I need to buy a new phone. मुझे नया फोन खरीदना है।,0
I will visit my grandmother. में अपनी दादी से मिलने जाऊंगा।,0
We are going to the market. आम्ही बाजारात जात आहोत.,1
I am feeling tired. मैं थका हुआ हूँ।,0
I am going to the office. मैं दफ्तर जा रहा हूँ।,0
I am studying for exams. मैं परीक्षा की तैयारी कर रहा हूँ।,0
I like to read books. నాకు పుస్తకాలు చదవడం ఇష్టం.,3
She is my friend. वह मेरी दोस्त है।,0
Let’s meet at 5 PM. మనం 5 గంటలకు కలుద్దాం.,3
Can you help me? మీరు నాకు సహాయం చేయగలరా?,3
I am watching a movie. मी चित्रपट पाहत आहे.,1
It’s a cold night. रात ठंडी है।,0
The book is interesting. ती पुस्तिका रोचक आहे.,1
I like to read books. నాకు పుస్తకాలు చదవడం ఇష్టం.,3
My dog is very cute. माझा कुत्रा खूप गोड आहे.,1
The book is interesting. ती पुस्तिका रोचक आहे.,1
I like to play cricket. मला क्रिकेट खेळायला आवडते.,1
I like to play cricket. मला क्रिकेट खेळायला आवडते.,1
I am going to buy groceries. మేము గ్రోసరీ కొనాలనుకుంటున్నాం.,3
This is a great opportunity. ఇది ఒక గొప్ప అవకాశమైంది.,3
The view from the mountain is beautiful. पहाडावरून दृश्य सुंदर आहे.,1
The teacher is explaining the topic. गुरुजी विषया शिकवित आहेत.,1
We are going to the market. आम्ही बाजारात जात आहोत.,1
