Sentence,Label
The sun is shining brightly in the clear blue sky.,4
त्याच्याजवळच एक स्मृतीचा साचा होता.,1
मैं आज सुबह काफ़ीocene करूँगा.,0
तुमच्या घरी पिस्तओंचा संचाल होत odd.,1
तुमच्यावरील देणे हे साप_TM_रा होते.,1
तुमच्या घरात केलेल्या नुसत्या कामाचा जोरवर मला गरजेच्या पात्रात आलो.,1
The sun was shining brightly in the clear blue sky.,4
मैं आज सुबह का नाश्ता pozdě खाया।,0
મને વિજયનગરમાં જલદી આવવાનું છે.,2
The sun was setting over the vast ocean.,4
હું ગાંધીનગરમાં વસતા હોઊં.,2
నా బంధువులు నేడు ఊరి నుండి వస్తున్నారు.,3
मैं सुबह नाश्ता खाता हूँ।,0
મને તમારી પરામર્શમાં લાભ આવ્યો છે.,2
The sun was shining brightly in the clear blue sky.,4
मैं आज सुबह कॉफी पी रहा हूँ।,0
The sun was shining brightly in the clear blue sky.,4
मैं आज स्कूल जा रहा हूँ।,0
मैं आज सड़क पर चल रहा हूँ।,0
The sun was shining brightly in the clear blue sky.,4
The sun was shining brightly in the clear blue sky.,4
She wore a red dress to the party.,4
मेरा नाम अंकित है.,0
મને અને તેમને મળી અને સરળ જમાટ પાંદર લઈ ગયા.,2
The cat purred contentedly on my lap.,4
मैं आज सुबह अपना ब्रेकफास्ट खा चuka हूँ।,0
वो सुबह का नाश्ता लेकर चला गया।,0
तुमच्याशिवायυπासctimeझालास.,1
నా పేరు రాహుల్.,3
રાજકોટમાં જાણે એક ઝરૂખાં છે.,2
मैं आज सुबह कॉफी पी-पी.,0
The sun is shining brightly in the clear blue sky.,4
मैं सुबह सैकड़ों किलोमीटर दूर की यात्रा पर निकला था।,0
त्याच्या घरात आज नांदी बोर होते.,1
મને ખુબ જ આનંદ આવે છે તમારી સર્વેસથી.,2
મને રવિવારે બાળકોની પાર્ટીમાં જવાન છે.,2
वह शहर में रहता है।,0
त्याला मी Yesterday हátka.,1
मी तुमच्याशी गुप्त सllvm.,1
मैं सुबह चाय पीता हूँ।,0
मैं आज स्कूल जा रहा हूँ।,0
तुमच्या घरी काही आहे का?,1
నేటి రాత్రి ఒక చాలా మంచి సినిమా చూడ్డం ఆహ్వానిస్తోంది.,3
माझे नाव सpeonचे आहे.,1
माझ्या श)::),1
त्या घरात हे बोलबолева आम्ही राहत&o,1
मैं आज कॉलेज जा रहा हूँ।,0
నేను పాఠశాలలో చదువుతున్నాను.,3
నేను ఈ రోజు పాఠం చూసాను.,3
तुमच्या घरात घरहा आहे.,1
నేను సోమవారం బండ్ల బక్సాకే వెళ్ళినట్లు ఉంది.,3
The sun was shining brightly in the clear blue sky.,4
నేను బతుకుతున్నాను.,3
నేను ఈ రోజు బయటకు వెళ్ళాను.,3
व_RATIO दालनातील कर्मचारी सिविल सेवा परीक्षेत जातात.,1
जoomla एक विश्वसनीय ओपन-सोर्स कंटेंट मॅनेजमेंट सॉफ्टवेर आहे.,1
मैं आज सुबह कॉफी पी रहा हूँ।,0
The sun is shining brightly today.,4
मैं आज सुबह खाना बनाता हूँ।,0
The sun was setting over the mountains.,4
The sun was shining brightly in the clear blue sky.,4
वह मेरे साथ घर गया है।,0
The sun was shining brightly in the clear blue sky.,4
मैं आज सुबह कáf़े गया था।,0
The sun is shining brightly today.,4
मैं आज सुबह कoffee पिएga।,0
મને અહીં ખાવા જોઈએ છે.,2
મને નવરાત્રીના દિવસે જમીર ખાવાનો ઈચ્છે.,2
त्या शाळेत मीучे वेळेत संपर्क करीन.,1
The sun is shining brightly in the sky.,4
मैंने आज सिनेमा देखा।,0
वे सुबह का नाश्ता कर रहे थे।,0
అతను నిర్మాతగా మారాడు.,3
माझे नाव श्रीधर आहे.,1
મને તમારી સાથે રવિવારે ચલી જવું હોત.,2
माझ्या आप्ताने पार्टीवर जाऊन halls.</br>,1
The teacher welcomed the new students to the classroom.,4
The sun is shining brightly in the sky.,4
माझा बाप मुंबईत राहतो.,1
तुमचे नाव काय आहे?,1
मेरे दोस्त ने आज शहर में फिल्म देखी।,0
मैं सुबह कáfी पीئरा खाता हूँ।,0
આજનો દિવસ ખૂબ સુંદર છે.,2
આજે મને કંઈક લગતુ થયું છે.,2
तुम्ही नालिबिला जाता.,1
मेरे घर में कучा चाय है.,0
అతను నాకు స్నేహితుడు.,3
तुमचे नाव कशे आहे?,1
तुमचे नाव काय आहे?,1
నేటి రాత్రి పద్మిని నాకు చాలా ఇష్టం.,3
મારા પરિવારને મને મિળવા ગારખડી મારતાં હતા.,2
આજ રાતે મને સંતોષ થયું.,2
She quietly closed the book and went to bed.,4
मेरी माँ ने आज कलर्फूल buys किया है.,0
She smiled as she walked out of the café.,4
मैं आज कोलकाता में चला गया हूँ।,0
મને તમારી સાથે ખુશાલ આવે.,2
मریم कॉलेज में पढ़ती है।,0
मैं आज सुबह आपको मिलूंगा।,0
The sun sets slowly over the rolling hills.,4
અમને રાત્રે ખુશ થાય છે.,2
The sun was shining brightly in the clear blue sky.,4
అతడు నగరంలో ఉండటం ద్వారా సంతోషంగా ఉంది.,3
The sun was shining brightly in the clear blue sky.,4
The sun was shining brightly in the clear blue sky.,4
అమ్మా నేను రాకపోయాను.,3
The sun is setting over the ocean.,4
The sun was setting over the mountains.,4
The sun was shining brightly in the clear blue sky.,4
मैं आज सुबह दोपहर भोजन के लिए घर गया था।,0
આ દિવસ ખુબ સુંદર છે.,2
అతను ఊరికి వచ్చాడు.,3
मैं आज कॉलेज जा रहा हूँ।,0
હું આજે ગામમાં રહું છુ.,2
आम्ही आज रात्री केल्यास नाहี.,1
मैं आज स्कूल नहीं गया।,0
मी आज पुणे या शहरात आहे.,1
The sun was shining brightly in the clear blue sky.,4
నేడు సంజీవి పాఠశాలకు వెళ్ళాడు.,3
నేను ఈరోజు బంధువులతో సంతోషంగా ఉన్నాను.,3
મને ખુશાલ થાય છે આજે રંગભૂમી જવાનું કરે છે.,2
The sun was shining brightly in the clear blue sky.,4
મને ખાસ કરતાં તમને જ જરૂર છે.,2
The sun is setting over the ocean.,4
నేను ఈ రోజు స్కూల్ కు వెళ్ళాలి.,3
आमच्या घरात चहा प_hide_तो.,1
मी आज पुणे साठी न_Tickmed.,1
मी तुमच्याशी मSortable सापडलो.,1
నన్ను చాలా జాతకాలు చూసింది.,3
આજ રાત સુખસાગરથી ગયા છે.,2
నేల మీద నుండి మొక్కులు ఎదుగుతున్నవి.,3
నాకు భార్య ఉంది.,3
हे रношीले माझ्या प्रियाचे हーティयाने स्थापने.,1
అతడు సూర్యుడిని చూడలేదు.,3
నాకు ప్రియమైన పుస్తకం ఒకటి ఉంది.,3
मैं आज अपने दोस्तों के साथ फिल्म देख रहा हूँ।,0
तुमच्या घरात काही नाही.,1
तुमच्या घरी काही सील होते.,1
મને ઘરે ફેરફરતા આવતો એક ચંદલ મળી ગયો.,2
నేను మామల్ని కలుసుకున్నాను.,3
तुमच्या घरात तुमचा नवराện सोई आहे जelen.,1
The dog ran quickly through the field.,4
मैं आज सुबह अपने दोस्त से मिलने जा रहा हूँ।,0
The sun sets slowly over the rolling hills.,4
The sun was shining brightly in the clear blue sky.,4
હું આજે સંજે ફરીથી માતાજીને મળું છે.,2
मी सुबह उडत आहे.,1
मैं आज कॉलेज जाता हूँ।,0
The sun is setting over the rolling hills.,4
મને રસકારજોગાં ખાવા માગે છે.,2
Tilakāchya shikshākumārī sarkārī kamālālāy zālā bhāloānāt.,1
वही घरी आल्या तर खाली खाण्यासाठी काही ठेवा.,1
त्याने माझाітуना घेतले.,1
నాకు తెలుగు భాష చాలా ఇష్టం.,3
तुमचे नाव काय आहे?,1
माझा खर्च अधिक झाला आहे.,1
तुमच्या घरी का होते?,1
నేను ఈ రోజు బయటకు వెళ్ళలి.,3
నేను ఈరోజు బయటకు వెళ్ళాలి.,3
The sun is shining brightly today.,4
The sun is shining brightly in the clear blue sky.,4
मैं आज सुबह कॉफी पिलाने जा रहा हूँ।,0
నేను ఈ రోజు స్కూలుకు వెళ్ళాలి.,3
मैं आज सुबह स्कूल गया।,0
నేను నా స్కూలు కు వెళ్ళాను.,3
माझा भावाचा संसारгляд.,1
મને આજરાત ના ગામમાં વિહાર કરવા આવ્યા છે.,2
मी आज गाडी चालवत आहे.,1
तुमची नावे माझ्या जवळ ठेवा.,1
నాకు తినాలనున్న తొలి పండు అన్నావా?,3
The sun is shining brightly outside.,4
लगनाचे तुमचे काम होत आहे.,1
मैं आज सुबह सुबह कॉफी पी रहा हूँ。,0
ఇది తెలుసు.,3
The sun is setting over the ocean.,4
मेरे माता-पिता मेरे साथ रहते हैं।,0
She carefully packed her suitcase for the trip.,4
मैंने आज रात्री फिल्म पहाण्यात आवडते.,1
मैं आज सुबह कॉफी पीना पसंद करता हूँ।,0
The smell of freshly baked cookies filled the entire house.,4
मैं आज क 學े गया हूँ।,0
నేను ఈ రోజు కాఫీ తిన్నాను.,3
ఎక్కడం నాకు ఇష్టం.,3
मेरे FRIENDS के साथ Cineworld में फिल्म देखी।,0
त्या दिवashi तुमच्यासमोर होती.,1
నేను ఈ రోజు ప్రస్తుతం కాలేజీకి వెళ్ళాలి.,3
મારા ભાઈએ આજે સાકરથી લાવ્યો.,2
The cat purred contentedly on my lap.,4
मैं आज सुबह कॉफी पीने गए थे।,0
The sun is setting over the ocean.,4
The sun is setting over the ocean.,4
मैं आज सुबह कॉफी पी रहा हूँ।,0
तुमच्या आज्ञेपेक्षा मी सीडा लावला आहे.,1
टくだत च्या घरात कष्ट होत हे!,1
నేను ఇన్నిరోజులు సుఖంగా ఉంటాను.,3
అతడు బైక్ ఎక్కాడు.,3
મને વાક્ય લખીને સચેત થયું.,2
నన్ను ఎప్పుడైనా కలవాలనుండి అటువంటి ఒక రోజు వస్తుంది.,3
तुमचं नाव कशे आहे?,1
મને રાત્રે ચા પીવું હોતું છે.,2
મને તમારી સાથે સંતોષ થાય છે.,2
तुमच्या घरातील खाऱ्याचा सेवन करु नये!,1
నేను ఈరోజు కాఫీ తొక్కాను.,3
આ દિવસ મંગળવાર છે.,2
माझ्या आईचे घर चープडे.,1
આ દિવસ સુંદર છે.,2
నేను ఈ రోజు పార్కులో వెళ్ళాను.,3
तुम्हाला माझे सापडले कसे आहे?,1
నాకు చాలా ఇష్టం కాఫీ.,3
તમે છે જેને મને મજા છે.,2
मैं आज शहर में घूमने جा रहा हूँ।,0
అంతా చక్కని రోజులు ఎక్కడా ఉండవు.,3
मैं आज कॉलेज नहीं जाऊँगा।,0
મને ખાડા તેમ જ ખાજામાં જઇએ.,2
నేడు చల్లా పడింది.,3
અમે આજે ઘરે રહેશુમ.,2
मैं आज सुबह कoffee पीogs रहा हूँ।,0
అమ్మాయి బంగారు ఆభరణం కొనుక్కుంది.,3
The sun is setting over the ocean.,4
આજે મને ખુશાલ આવી છે.,2
हे चने का शिवाय येत नाही.,1
She carefully placed the fragile vase on the shelf.,4
આજે મને ખુશ કરે છે.,2
આ ખરાબ દિવસે મને લાગવુ આવ્યું કે હું સારા થવાને ભરવાડો કરીશ.,2
मैं आज सुपругा साथ सिनेमा जा रहा हूँ।,0
त्यांच्यावर आज समोरच तुमचा सखा होता आहे.,1
The sun was shining brightly in the clear blue sky.,4
నేను కనపడాలనుకుంటున్నాను.,3
माला आज शहरातील परिसरात सैर करीत आहे.,1
मनाला माझा सاوندेकडेowellे आहे.,1
આ ચાયે તેના પર સૂરજ ઉપર ઊઠી ગયું.,2
મને રાત્રે ઘરે સુખ હોય છે.,2
त्या शहरातील प्रवासात मी काही न&Rough<div>,1
The sun was setting over the ocean.,4
तुमच्यावर्षात काय घडते?,1
The sun was setting over the ocean.,4
मी आज शालेय आकृती सेशनच्या नियमित साधर्म्याने आहे.,1
The sun was shining brightly in the clear blue sky.,4
నేను ఈ రోజు కాఫీ కొన్నాను.,3
આજે મને ખાણે જવાડી છે.,2
నేను ఇప్పుడు ఏదో చేస్తున్నాను.,3
મને રમત થાય છે.,2
મમે આજે નવરાત્રીના ઉત્સવમાં જઈને આપણને મિલાઈ જવું છે.,2
मेरी माँ आज घर पर खाना बना रही है.,0
આવજો રાત્રે મને શું બતાવશો.,2
The sun was shining brightly in the clear blue sky.,4
वह सुबह शहर में चला गया।,0
माझे नाव राहुल आहे\.,1
मैं आज सुबह कафे में गया था।,0
నేటి రోజు నాకు ఎక్కువ కష్టమా?,3
तुमचे नाव श्रीलाल असते का?,1
तुमच्या घरात काही आहे का?,1
The sun was shining brightly in the clear blue sky.,4
मैं आज स्कूल गया।,0
నేడు రాత్రి కాల్షియం భోజనం చేస్తున్నాను.,3
मैं आज सुबह कॉफी पी रहा हूँ।,0
నేలు ఎంతో అందంగా ఉంది.,3
मैं आज की सुबह का काफीले साथ बगीचे में गया था।,0
The sun is shining brightly in the clear blue sky.,4
అమ్మా నేను కాఫీ కొంటున్నాను.,3
तुमच्या घरातील उपहाराने म 籌.,1
मैं आज स.setColumn कुछ पढ़ना चाहता हूँ।,0
The sun was shining brightly in the clear blue sky.,4
मैं सुबह का नाश्ता खा रहा हूँ।,0
અમે આજે સવારે કાફી પિયાસો થયા.,2
She smiled at the bright sunshine.,4
મને તમારી અનેક આનંદનીય સમાચારો આવ્યા છે.,2
આજ રાત સુધી મને ઘણી સમસ્યાઓ વગર સુધી જઈ ગયા છે.,2
నేను ఈ రోజు పార్కుకు వెళ్ళాను.,3
हे माझे निमित्त कऱ्याच होते!,1
"म.LatLng 20.9433° N, 75.7853° E.",1
నేటి రాత్రే నేను చూడాలనుకుంటున్నాను.,3
The sun is setting over the ocean.,4
The sun was shining brightly in the clear blue sky.,4
મારી સોળ વર્ષની બાળકને પાસા લગાડયા.,2
त्या दिवसी माझा मित्र पुढील शहरात गेला होता.,1
मोहित ने आज सुबह कहीं जाने की योजना बनाई।,0
हे शहर खूप सुन्दर आहे.,1
నేను ప్రతిరోజూ కాఫీ తో తెలుస్తాను.,3
तुमच्या घरात काही होता.,1
The sun was shining brightly in the clear blue sky.,4
నేను ప్రతి రోజు తెలుగు నిలబడుతున్నాను.,3
મને ખાનાવટલાયક વ્યાપારી કરાર કરવાનો છે.,2
मी तुमच्याशी खुश आहे,1
वह एक अच्छा किताब lire का शौकिन था।,0
मैं आज दोपहर में पार्क जाने वाला हूँ।,0
నేను ఈ రోజు పాఠాలు చదివాను.,3
મને રાત્રે ખાણા પસંદ આવે છે.,2
माझे नाव राजシェष्ठ आहे .,1
આજે મને રસાયણશાસ્ત્ર ઉપરાંત કોઈક સંતોષીત સંભાળ જોખિયાત છે.,2
నేడు వంట చేస్తున్నావా?,3
నేను పాఠాలు చదువుతున్నాను.,3
મને આજે ખુશી થઈ છે.,2
అతను బాబాయిలను ఇంటికి తీసుకువస్తాడు.,3
मेरी माँ मुझे आज कल 학교 में नहीं发送 करती.,0
मैं आज शहर में गया था।,0
నేడు రాత్రి భోజనం చేయను.,3
అతను వెళ్ళాడు కాలేజ్.,3
నేను ఈ రోజు స్కూలు మొదలు పెట్టాను.,3
నేను బుక్లర్ ప్రెయర్ తింటాను.,3
నేడు రాత్రి మళ్ళీ వస్తుంది.,3
मैं आज सुबह से काम पर गया।,0
મને ચહેરોથી યાદાવરણનો સૌથી સારો સમાચાર આવ્યો હતો.,2
The sun is setting over the ocean.,4
She carefully crafted her response to ensure accuracy.,4
महत्त्वाच्या कार्याने सोपाने प्रगत होते.,1
मैं आज सूरज के पास जा रहा हूँ।,0
હું આજે શક્ય છું કારણ કે મને પ્રસન્ન થયું.,2
मैं आज स.utfddf सुबह का ब्रेकफास्ट खा रहा हूँ।,0
તેણે ઘરે આવ્યો છે.,2
मैं晓्दातक द्वारा आजकल स्वागत है。,0
આ એક સુંદર રાત છે.,2
అతడు ఊరికి వెళ్ళాడు.,3
मैं आज सुबह कॉफी पी रहा हूँ।,0
ते माझे मित्र निघाले.,1
నేడు రాత్రి ఎక్కువ విశ్రాంతి తీసుకుందాం.,3
నేలపై నిలబడి ఉండాలి.,3
મને આજે ખાસ દિવસ લાગ્યો છે.,2
నేను బోర్డులో చదువుతోంది.,3
The sun was shining brightly in the clear blue sky.,4
हे खýšे या वाढते.,1
The sun was shining brightly in the clear blue sky.,4
The sun was shining brightly in the clear blue sky.,4
मैं आज सुबह अपने दोस्त से मिलने जा रहा हूँ।,0
The sun is shining brightly today.,4
मैं आज सुबह सागर के निकट चला गया।,0
तुमचे नाव कशشو?,1
The sun was shining brightly in the clear blue sky.,4
મને ખુબ વળગાસ છે.,2
ఈ రోజు నాట చాలా మంది విద్యార్థులు బోర్డింగ్ హౌస్లో ఉన్నారు.,3
तुमचे घर एकदमच खुप सुन्दर आहे.,1
The sun is shining brightly in the clear blue sky.,4
तुमचे नाव काय आहे?,1
त्याच्या घरात फुलवले होते.,1
The dog is very happy today.,4
The sun rises slowly over the horizon.,4
माझे मित्र मुख्यमंत्री होतात.,1
मैं आज सुबह साइकिल पर गया।,0
मेरी मां ने आज मुझे कुक्कड़ दिखाया।,0
నా బంధువులు నా ఇల్లు తరలించారు.,3
મને રમતમાં ખુશી આવે છે.,2
આ દિવસ સારા હોય.,2
शिवसेनेचे नेते उद्धव ठाकरे यांच्या नेतृत्वात पार्टी ग्रामीण क्षेत्रातील लोकांमध्ये लोकप्रिय झाली.,1
मैं आज सुबह चाय पी रहा हूँ।,0
मेरा नाम सumpter है और मैं सूचना технологी का पाठ्यक्रम नामी हूँ।,0
The sun is shining brightly in the clear blue sky.,4
तुमच्या घरी कोणतेच तप्पा नाही.,1
నేను ఈ ఊరుని పిలవలేదు.,3
She carefully arranged the flowers in the vase.,4
मैं आज शहर में जा रहा हूँ।,0
माझे नाम संकेत आहे.,1
મને ગામમાં બહુ સુંદર દિવાળી ઉજવણી આવી છે.,2
मैं आज सुबह सूरज प्रात को निकला था।,0
मैं आज सुबह कॉफी पी रहा हूँ।,0
मैं आज कहीं जा रहा हूँ।,0
నేను ఈ రోజు రాత్రి నగరంలో ఉన్నాను.,3
The sun is shining brightly in the clear blue sky.,4
The sun is shining brightly in the clear blue sky.,4
तुमच्या आईचे नांव कृष्णा.,1
મને ખુબ જ ભારેલુ લગતુ છે.,2
હું ગામમાં રહોતો હોઉને એક નવી ચાહાંવાળી ગામમાં આવીને ઘરે આવ્યો.,2
तुमचे घरात पाणी आहे.,1
The sun was shining brightly in the clear blue sky.,4
मैं आज कार्यालय जा रहा हूँ।,0
The sun is setting slowly over the ocean.,4
वह सुबह स-eslint से हासिल किया गया मूवी था।,0
माझे मैत्रिणी माझ्या घरी येते.&ZeroWidthSpace;,1
मैं शहर में रहता हूँ।,0
અમારા પરિવારમાં તમામ સભ્યોએ મળી રહે છે.,2
The sun was shining brightly in the clear blue sky.,4
నేను ఈ రోజు కాలేజికి వెళ్ళాలి.,3
खर_CLIP_board_वरून_मार्ग_सुद्धा_च_नाकाशात._,1
मैं आज कॉलेज जा रहा हूँ।,0
నేను ఈ రోజు సెలవు తీసుకుంటాను.,3
The sun is shining brightly in the clear blue sky.,4
The sun was shining brightly in the clear blue sky.,4
तुमचे नाव कशें आहे?,1
આજે મને ફરી એક મગનો ઘાલો ખાવા લાગ્યો.,2
मेरी माँ काफ़ी अच्छा कुकिंग कर लेती है।,0
నేను ఈ రోజు బయటికి వెళ్ళాను.,3
મને ખાજાનું ચાહવાને ભરમાં આવ્યું.,2
આજ રાત ભાઈબાપામાં અમે ભોજ કરીએ છે.,2
આ બાળક ખેલાવા માટે જાય છે.,2
मैं स_CTX से लौटा हूँ।,0
मैं आज सुबह का नाश्ता खा लिया।,0
The sun is setting over the ocean.,4
तुमच्या घरातीला काही चीज शोधत आहे का?,1
तुमच्या आईच्या घरी आहे.,1
મને આજે બહુ થી ભારે લાગે છે.,2
నేను ఈ రోజు పిల్లలతో కలిసి ఆటలు ఆడుతున్నాను.,3
મારા બાબાએ આજે મને કહ્યું કે રાત્રે ઘરે આવો.,2
అమ్మా నాకు ఇస్తే నేను చాలా సంతోషించేవి.,3
मी आज शहरात कاسه खरीदत आहे.,1
હું ગાંધીજીને મારી માતાજી તરીકે જાણું.,2
तुमचे नाम काय आहे?,1
तुमच्याशी मला नीट लागले आहे!,1
The sun is setting over the ocean.,4
पुण्याचा रक्षाबल्लाला खूप प्रिय आहे.,1
She carefully composed the letter to her old friend.,4
तुमचे आठवणी आजच्या दिवशी होती.,1
The sun is setting over the ocean.,4
मैं आज 도시 में जा रहा हूँ।,0
तुम्ही आजच किती प9625 करअถานे आला!,1
నేను ఈ రోజు పాఠాలు చదవాలనుకుంటున్నాను.,3
అతను స్కూల్ గోవుతున్నాడు.,3
मैं आज शहर में जा रहा हूँ।,0
నేను ఈ రోజు బైక్ పైనే పోతున్నాను.,3
मैं आज कॉलेज जा रहा हूँ।,0
મને આજે સાંજે નવસમયે રહેવાનું છે.,2
The sun is shining brightly today.,4
The sun is shining brightly in the clear blue sky.,4
The sun is shining brightly in the clear blue sky.,4
నేను ఇంట్లో ఉండాలనుకుంటును.,3
મુનની ભાઈએ અમને ખાજાલ ક્રમે પંચમશાસન કર્યું.,2
मैं आज चर्चा में गया।,0
मी आज शहरात जात आहे.,1
तुमचे घर लागते या साली.,1
The sun is setting over the ocean.,4
મને ખૂબ યાદ આવે છે જે તમને મળતા તેડામાં મારી તને મળેલ કારજ અલગ જ છે.,2
The sun is shining brightly in the clear sky.,4
నేను కాలేజ్‌లో చదువుకుంటున్నాను.,3
The sun was setting over the ocean.,4
నేడు రాత్రి ఊరంలో సంజీవం తినాలి.,3
నేను ఈ రోజు కోడిపండు తీసుకున్నాను.,3
మా గోత్రం పెద్ద దేవాలయంలో ఉంది.,3
నేను ఈరోజు బంధువులతో భోజనం చేశాను.,3
આજે સવારે મને કાફી લાગી.,2
The sun sets slowly over the mountains.,4
The sun is shining brightly in California.,4
She walked alone in the rain.,4
मैं आज सुबह का नाश्ता खा नहीं पाया।,0
The sun is shining brightly today.,4
वह स्कूल में जाता है।,0
నాన్న అన్నమార్గాన వచ్చాడు.,3
મિત્રો ને શામેલ કરતા હોય ત્યારે ઝાડવાની અને મને એક સન્માનજનક સન્માન આપશે.,2
આ દિવસે મને કાફી અસહીંયાર લાગ્યું.,2
चानाल स्टूडेट्स निमittा विद्यार्थी चा संस्कार करवितात.,1
The sun was shining brightly in the clear blue sky.,4
तुमच्या घरात काही आहे का?,1
ఆమె చెప్పింది నేను విన్నాను.,3
तुमच्या घरी मोगरा लपेटला होता!,1
అతను నిత్యం పాఠశాలకు వెళ్ళుతోంది.,3
तुमच्याशिवाय काहीही असणार नाही .,1
The sun was shining brightly on the beautiful beach.,4
हा शहर क.GetItem,1
मैं सोमवार सुबह स鲜花 ख़रीदने जा रहा हूँ।,0
तुमचे नाव काय आहे?,1
The sun was shining brightly in the clear blue sky.,4
तुमच्याविषयी काही कळत नाही.,1
તેણે આજે ભાઈને ફોન કર્યો છે.,2
The sun is setting over the ocean.,4
मेरे पिता आज शहर में कार्य कर रहे हैं।,0
నేను ఈ రోజు నా స్కూల్ కు వెళ్ళాలి.,3
मैं आज सुबह स्कूल गया.,0
तुमच्या घरात काही होत आहे.,1
